id;tense;source/target;is correct target?;is correct translation?;w1;w2;w3;pos1;pos2;pos3;lemma1;lemma2;lemma3;comments;full fragment;source words;source fragment
16472;pretérito perfecto compuesto;target;yes;yes;ha;enseñado;;VHfin;VLadj;;haber;enseñar;;;"Nuestro gran Fuhrer le ha enseñado a ese marica inglés ,
, a ese imbécil fumador de puros llamado Churchill ,
, dónde podía meterse sus apestosos cigarros ,";has been;Our great Fuhrer has been showing their English bed-wetter the cigar-chomping asshole Churchill ... ... where exactly to go and stick his stinking cigars .
16473;pretérito perfecto compuesto;target;yes;yes;He;seguido;;VHfin;VLadj;;haber;seguir;;;He seguido vuestro consejo en todo asunto de mi reino , pero vuestra política haría de Inglaterra parte de Francia o España .;have followed;I have followed your advice in all the affairs of my kingdom , but your policies would make England nothing but part of France or Spain .
16474;pretérito imperfecto;target;yes;yes;estábamos;esperando;;VEfin;VLger;;estar;esperar;;;Seevvald , lo estábamos esperando , Por aquí , capitán ,;'ve been;Seewald , we 've been expecting you .
16475;presente;target;yes;yes;paseo;;;VLfin;;;pasear;;;;Hace mucho tiempo que no paseo por París a estas horas .;haven been;I haven 't been out in Paris by this time of the day in a long time .
16476;presente;target;yes;yes;Hay;;;VHfin;;;haber;;;;- Hay que disminuir el peso ,;'ve got;- We 've got to shed some weight .
16477;pretérito indefinido;target;yes;yes;hice;;;VLfin;;;hacer;;;;Mira lo que te hice .;'ve made;Look what l 've made for you .
16478;pretérito indefinido;target;yes;yes;Descubriste;;;VLfin;;;Descubriste;;;;Descubriste mi punto flaco , la soberbia .;'ve found;You 've found my weakness :
16479;pretérito perfecto compuesto;target;yes;yes;he;visto;;VHfin;VLadj;;haber;ver;;;Lo he visto , es genial .;'ve seen;I 've seen it , it 's cool .
16480;presente;target;yes;yes;Tenemos;;;VLfin;;;tener;;;;Tenemos que dar las gracias por todo lo que crece aquí ,;'ve got;Anything that grows on this boat we 've got to be grateful for .
16481;presente;target;yes;yes;Hay;;;VHfin;;;haber;;;;Hay que trabajar !;'ve got;We 've got work to do !
16482;pretérito perfecto compuesto;target;yes;yes;ha;vuelto;;VHfin;VLadj;;haber;volver;;;La gente ha vuelto a sus vidas , y hacen frente a los daños .;have gone;People have gone back to their lives , and are coping with the damage .
16483;pretérito perfecto compuesto;target;yes;yes;ha;conmocionado;;VHfin;VLadj;;haber;conmocionar;;;Este evento inusual ha conmocionado a la tranquila ciudad de Maaskantje .;has shocked;This unusual event has shocked the quiet town of Maaskantje .
16484;presente;target;yes;yes;molesta;;;VLfin;;;molestar;;;;Sabes , hay algo que me molesta .;'s been;You know , there 's an odd detail that 's been bothering me .
16485;pretérito perfecto compuesto;target;yes;yes;has;estado;;VHfin;VEadj;;haber;estar;;;¿ Qué has hecho en los últimos tres meses que has estado viviendo aquí ?;'ve been;What have you done in the last three months that you 've been living here ?
16486;pretérito indefinido;target;yes;yes;Viste;;;VLfin;;;ver|ver|vestir;;;;¿ Viste a mi madre ?;Have seen;Have you seen my mother ?
16487;pretérito perfecto compuesto;target;yes;yes;He;sido;llamada;VHfin;VSadj;VLadj;haber;ser;llamar;;He sido llamada a ser vuestra soberana .;have been placed;I have been placed here as your sov ...
16488;pretérito indefinido;target;yes;yes;fueron;;;VSfin;;;ser;;;;De todos modos , los policías no fueron capaces de arrestarlos .;haven been;Anyway , the cops haven 't been able to arrest them .
16489;presente;target;yes;yes;Traigo;;;VLfin;;;traer;;;;Traigo un poco de aguardiente , tabaco , queso .;'ve brought;l 've brought some Orujo , tobacco , cheese .
16490;pretérito indefinido;target;yes;yes;salieron;;;VLfin;;;salir;;;;Pero las cosas no salieron del todo bien .;haven turned;But things haven 't turned out so well .
16491;pretérito perfecto compuesto;target;yes;yes;ha;levantado;;VHfin;VLadj;;haber;levantar;;;¡ Su Majestad no se ha levantado !;has risen;Your Grace , Her Majesty has not risen .
16492;infinitivo compuesto;target;yes;yes;haber;viajado;;VHinf;VLadj;;haber;viajar;;;Capitán , su mujer no debería haber viajado en un estado tan avanzado del embarazo .;have traveled;Captain , your wife should not have traveled at such a late stage of pregnancy .
16493;infinitivo compuesto;target;yes;yes;haberme;obedecido;;VCLIinf;VLadj;;haber;obedecer;;;No , podías haberme obedecido .;have obeyed;You could have obeyed me .
16494;pretérito pluscuamperfecto;target;yes;yes;hubiesen;enviado;;VHfin;VLadj;;haber;enviar;;;Quién sabe qué idiota le hubiesen enviado ,;have sent;Who knows what kind of idiot they 'd have sent you .
16495;condicional simple;target;yes;yes;debería;cuidar;;VMfin;VLinf;;deber;cuidar;;;Lo que quería decir es que ella debería cuidar de sus dos niños .;have looked;What I meant was that she should have looked after her two kids .
16496;pretérito perfecto compuesto;target;yes;yes;Has;estado;;VHfin;VEadj;;haber;estar;;;Has estado fuera 6 meses .;'ve been gone;You 've been gone for 6 months .
16497;pretérito perfecto compuesto;target;yes;yes;Has;mirado;;VHfin;VLadj;;haber;mirar;;;¿ Has mirado en su cuarto ?;Have looked;Have you looked in her room ?
16498;pretérito perfecto compuesto;target;yes;yes;Hemos;perdido;;VHfin;VLadj;;haber;perder;;;Hemos perdido el equipo radiofónico , No tenemos contacto ,;'ve lost;We 've lost the sounding gear .
16500;pretérito indefinido;target;yes;yes;comí;;;VLfin;;;comer;;;;¡ No comí en todo el día , puto !;haven eaten;I haven 't eaten all day , cunt !
16501;pretérito imperfecto;target;yes;yes;daba;;;VLfin;;;dar;;;;Ella me daba vueltas .;'s been;She 's been around .
16502;presente;target;yes;yes;Tengo;;;VLfin;;;tener;;;;Hazlo bien , Tengo la sensación de que vamos a tener acción ,;'ve got;I 've got a feeling we 're going to see some action .
16503;pretérito perfecto compuesto;target;yes;yes;He;escuchado;;VHfin;VLadj;;haber;escuchar;;;He escuchado de fuentes confiables , que esto no fue causado por un error técnico sino que fue un ataque fallido contra Maaskantje ordenado por el gobierno holandés ... ... para matar a cinco hombres .;'ve heard;I 've heard from reliable sources , that this was not caused by a technical error but a failed attack on Maaskantje ordered by the Dutch government ... ... to kill five guys .
16504;pretérito perfecto compuesto;target;yes;yes;has;visto;;VHfin;VLadj;;haber;ver;;;¿ Y nunca la has visto ?;'ve seen;And you 've never seen her ?
16505;pretérito perfecto compuesto;target;yes;yes;He;navegado;;VHfin;VLadj;;haber;navegar;;;He navegado en una goleta , Preciosa , Con bodegas grandes como catedrales ,;'ve sailed;I 've sailed on a schooner .
16506;presente;target;yes;yes;tengo;;;VLfin;;;tener;;;;- Porque yo sí que tengo ,;'ve got;- I 've got some up mine .
16507;pretérito perfecto compuesto;target;yes;yes;han;enviado;;VHfin;VLadj;;haber;enviar;;;Hemos declarado el estado de emergencia , y se han enviado equipos de rescate ...;have sent;We have declared a state of emergency , and have sent paramedics ...
16508;pretérito perfecto compuesto;target;yes;yes;ha;salido;;VHfin;VLadj;;haber;salir;;;Lord Robert , ha salido de caza .;has gone;- Lord Robert , Madam , has gone hunting .
16509;pretérito perfecto compuesto;target;yes;yes;ha;ocurrido;;VHfin;VLadj;;haber;ocurrir;;;¡ Aprisa , algo ha ocurrido !;has happened;Something has happened !
16510;pretérito indefinido;target;yes;yes;Regresásteis;;;NP;;;Regresásteis;;;;¡ Regresásteis !;'ve returned;You 've returned .
16511;pretérito perfecto compuesto;target;yes;yes;has;contado;;VHfin;VLadj;;haber;contar;;;¿ Se lo has contado a alguien ?;Have told;Have you told anyone ?
16512;pretérito perfecto compuesto;target;yes;yes;ha;ganado;;VHfin;VLadj;;haber;ganar;;;Su Majestad ha ganado el debate .;has won;Her Majesty ... has won the argument .
16513;pretérito perfecto compuesto;target;yes;yes;han;visto;;VHfin;VLadj;;haber;ver;;;Mis pies nunca se han visto tan bien .;have been styled;My feet have never been styled so well .
16514;pretérito indefinido;target;yes;yes;Tuve;;;VLfin;;;tener;;;;Tuve tantos nombres ....;'ve had;l 've had so many names ...
16515;pretérito perfecto compuesto;target;yes;yes;Han;sido;reportados;VHfin;VSadj;VLadj;haber;ser;reportar;;Han sido reportados incidentes en la regiones de Utrecht , Holanda Meridional Gelderland y Overijssel .;have been reported;Incidents have been reported in the regions of Utrecht , Zuid-Holland Gelderland and Overijssel .
16516;pretérito indefinido;target;yes;yes;Estuvo;;;VEfin;;;estar;;;;Estuvo con todos .;'s been;She 's been around .
16517;presente;target;yes;yes;Tenemos;;;VLfin;;;tener;;;;Tenemos 12 naves en el Atlántico , desde Groenlandia a las Azores ,;'ve got;12 boats we 've got on the Atlantic , from Greenland to the Azores .
16518;infinitivo compuesto;target;yes;yes;haber;sido;;VHinf;VSadj;;haber;ser;;;"Erais el hombre más poderoso de Inglaterra , y más grande podríais haber sido .
Pero no teníais valor para ser leal .";have been;You were the most powerful man in England and could have been greater still but you had not the courage to be loyal .
16519;pretérito imperfecto;target;yes;yes;Estabamos;;;VLfin;;;Estabamos;;;;- ¡ Estabamos equivocados !;'ve made;- We 've made a mistake !
16520;infinitivo compuesto;target;yes;yes;haber;dicho;;VHinf;QU;;haber;dicho;;;Creo que si me lo hubiera encontrado en la calle , podría haber dicho que es tu hermano .;have told;I could have told he was your brother .
16521;presente;target;yes;yes;Hay;;;NP;;;Hay;;;;El peso de la nave ha de disminuir , Hay que sacar el agua ,;'ve got;We 've got to get the water out .
16522;pretérito indefinido;target;yes;yes;cometí;;;VLfin;;;cometer;;;;Porque , Majestad , ninguno cometí .;have committed;Because , Your Majesty , I have committed none .
16523;presente;target;yes;yes;veo;;;VLfin;;;ver;;;;Hace años que no veo la nieve ,;'s been;It 's been years since I saw snow .
16525;pretérito indefinido;target;yes;yes;Conseguí;;;VLfin;;;conseguir;;;;Conseguí la llave .;'ve got;l 've got the key .
16526;pretérito perfecto compuesto;target;yes;yes;han;atascado;;VHfin;VLadj;;haber;atascar;;;Los cojinetes se han atascado , Sigue subiendo !;have seized;The bearings have seized .
16527;infinitivo compuesto;target;yes;yes;haber;ido;;VHinf;VLadj;;haber;ir;;;Y entonces un día de mal tiempo , un día que no debería haber ido a parapente .;have gone;And then a day of bad weather , a day I shouldn 't have gone paragliding .
16528;pretérito perfecto compuesto;target;yes;yes;han;desaparecido;;VHfin;VLadj;;haber;desaparecer;;;Phillip , los veteranos han desaparecido ,;has gone;Phillip , the old bunch has gone .
16529;pretérito perfecto compuesto;target;yes;yes;habéis;olvidado;;VHfin;VLadj;;haber;olvidar;;;¿ Lo habéis olvidado , Señor ?;Have forgot;Have you forgot , my Lord ?
16530;pretérito perfecto compuesto;target;yes;yes;han;tenido;;VHfin;VLadj;;haber;tener;;;"Lamento profundamente si en algo os he ofendido .
Bien sabe Dios que todos mis consejos han tenido como único objetivo";has been;I deeply regret , Madam , if I have caused you such offence though God knows all my advice has only ever been
16531;pretérito indefinido;target;yes;yes;Intentamos;;;VLfin;;;intentar;;;;Intentamos todo para conseguir más dinero , pero no funcionó .;'ve tried;We 've tried everything to get more money , but it didn 't work out .
16532;pretérito perfecto compuesto;target;yes;yes;has;estado;;VHfin;VEadj;;haber;estar;;;¿ Dónde has estado ?;have been;Where have you been ?
16533;pretérito perfecto compuesto;target;yes;yes;He;librado;;VHfin;VLadj;;haber;librar;;;He librado a Inglaterra de sus enemigos .;have rid;I have rid England of her enemies .
16534;pretérito perfecto compuesto;target;yes;yes;habéis;estado;;VHfin;VEadj;;haber;estar;;;¿ Dónde habéis estado ?;have been;Where have you been ?
16535;pretérito perfecto compuesto;target;yes;yes;He;decidido;;VHfin;VLadj;;haber;decidir;;;He decidido otorgaros el título de Lord Burghley , para que gocéis vuestro retiro con mayor desahogo .;have decided;I have decided to create you Lord Burghley , so you may enjoy your retirement in greater ease .
16536;presente;target;yes;yes;conoce;;;VLfin;;;conocer;;;;No conoce mucho mundo .;hasn been exposed;She hasn 't been exposed to the world .
16537;pretérito perfecto compuesto;target;yes;yes;Has;pensado;;VHfin;VLadj;;haber;pensar;;;- ¿ Has pensado en eso ?;Have thought;- Have you thought about that ?
16538;pretérito perfecto compuesto;target;yes;yes;ha;sido;encontrado;VHfin;VSadj;VLadj;haber;ser;encontrar;;Nuestro ministro de defensa aún no ha sido encontrado .;has been found;Our defence minister has not been found yet .
16539;pretérito perfecto compuesto;target;yes;yes;Hemos;ido;;VLfin;VLadj;;haber;ir;;;No hemos visto un rayo de sol en 14 días , Hemos ido a la deriva ,;'ve been;We 've been drifting in this storm .
16540;pretérito indefinido;target;yes;yes;hizo;;;VLfin;;;hacer;;;;Dios mío , ¿ qué le hizo ?;have done;My God , what have you done to him ?
16541;pretérito perfecto compuesto;target;yes;yes;he;encomendado;;VHfin;VLadj;;haber;encomendar;;;Acaba de regresar del exilio y le he encomendado vuestra custodia .;have appointed;He has returned from exile and I have appointed him to have a care for Your Majesty 's person .
16542;infinitivo;target;yes;yes;tener;;;VLinf;;;tener;;;;Cuando pasemos a éstas , vamos a tener una relación ...;have developed;When we get to these , we 'll have developed ...
16543;presente;target;yes;yes;sobran;;;VLfin;;;sobrar;;;;Nos sobran fabulosos torpedos , Cada uno vale 25,000 marcos ,;'ve got;We 've got plenty of fancy torpedoes .
16544;pretérito perfecto compuesto;target;yes;yes;he;demostrado;;VHfin;VLadj;;haber;demostrar;;;Me he demostrado incapaz para reinar .;have been proved;I have been proved unfit to rule .
16545;presente;target;yes;yes;estoy;tratando;;VEfin;VLger;;estar;tratar;;;Lo que estoy tratando de explicar , es que fue un accidente .;'ve been;What I 've been trying to explain , is that it was an accident .
16546;pretérito indefinido;target;yes;yes;negaron;;;VLfin;;;negar;;;;Por orden de sus Majestades , la Reina María y el Rey Felipe , seremos testigos de la muerte en la hoguera de estos herejes protestantes , quienes negaron la autoridad de la única y verdadera Iglesia Católica , y de su Santidad el Papa .;have denied;By order of their gracious Majesties , Queen Mary and King Philip , we are come to witness the burning of these Protestant heretics who have denied the authority of the one true Catholic church and of His Holiness the Pope .
16547;pretérito indefinido;target;yes;yes;acorralamos;;;VLfin;;;acorralamos;;;;Mi Capitán , acorralamos un grupo que se quedó rezagado .;'ve surrounded;Captain , we 've surrounded a small unit that fell behind .
16548;presente;target;yes;yes;tengo;;;VLfin;;;tener;;;;- Ya lo tengo , Abrid paso ,;'ve got;- I 've got him .
16549;pretérito perfecto compuesto;target;yes;yes;Han;envenenado;;VHfin;VLadj;;haber;envenenar;;;Han envenenado a mi hijo .;have poisoned;They have poisoned my child .
16550;presente;target;yes;yes;tienes;;;VLfin;;;tener;;;;- En ese caso , tienes un problema ,;'ve got;- You 've got problems , friend .
16551;pretérito perfecto compuesto;target;yes;yes;ha;compartido;;VHfin;VLadj;;haber;compartir;;;El Rey no ha compartido su lecho desde hace meses .;has shared;The King has not shared her bed for many months .
16552;pretérito perfecto compuesto;target;yes;yes;Hemos;estado;;VHfin;VEadj;;haber;estar;;;Hemos estado juntos durante trece semanas .;'ve been;We 've been together for thirteen weeks .
16553;pretérito perfecto compuesto;target;yes;yes;ha;sido;arrestado;VHfin;VSadj;VLadj;haber;ser;arrestar;;Entonces , ¿ se supone que no ha sido arrestado ?;hasn been arrested;So I 'm assuming he hasn 't been arrested ?
16554;futuro imperfecto;target;yes;yes;tendrán;;;VLfin;;;tener;;;;Al menos entonces ya tendrán barba ,;have grown;They 'll have grown beards by then .
16555;presente;target;yes;yes;espera;;;VLfin;;;esperar;;;;El Rey espera impaciente a que su Excelencia se haga cargo .;has become;The King , my master , has become impatient for Your Grace to act .
16556;pretérito pluscuamperfecto;target;yes;yes;hubiera;pensado;;VHfin;VLadj;;haber;pensar;;;Nunca lo hubiera pensado .;have thought;I couldn 't have thought about that .
16557;pretérito pluscuamperfecto;target;yes;yes;hubiera;cometido;;VHfin;NC;;haber;cometido;;;Mi padre no hubiera cometido tal error .;have made;My father would not have made such a mistake .
16558;pretérito perfecto compuesto;target;yes;yes;habéis;convenido;;VHfin;VLadj;;haber;convenir;;;de que habéis convenido con María para fomentar vuestras ambiciones .;has made;that Your Grace has made contact with Mary of Scots to promote your ambitions .
16559;presente;target;yes;yes;están;hundiendo;;VEfin;VLger;;estar;hundir;;;Son sus mamparos , Se están hundiendo ,;'ve collapsed;They 've collapsed .
16560;pretérito indefinido;target;yes;yes;debieron;ser;enviados;VLfin;VSinf;VLadj;deber;ser;enviar;;Nunca debieron ser enviados a Escocia .;have been sent;They should never have been sent to Scotland .
16561;pretérito perfecto compuesto;target;yes;yes;he;estudiado;;VHfin;VLadj;;haber;estudiar;;;Siempre he estudiado , en lugar de trabajar .;have been;I have been mostly studying rather than working .
16562;pretérito perfecto compuesto;target;yes;yes;han;localizado;;VHfin;VLadj;;haber;localizar;;;No nos han localizado , Están roncando en sus literas ,;haven spotted;They haven 't spotted us .
16563;pretérito perfecto compuesto;target;yes;yes;ha;salvado;;VHfin;VLadj;;haber;salvar;;;Esta diabólica maquinación no ha salvado a vuestra bastarda Reina .;has saved;I am sure this infernal work has not saved your bastard Queen .
16564;pretérito perfecto compuesto;target;yes;yes;he;convertido;;VHfin;VLadj;;haber;convertir;;;Me he convertido en virgen .;have become;I have become a virgin .
16565;pretérito perfecto compuesto;target;yes;yes;ha;localizado;;VHfin;VLadj;;haber;localizar;;;El U-32 ha localizado un convoy , Llegaremos dentro de 10 horas ,;has spotted;U-32 has spotted a British convoy .
16566;pretérito perfecto compuesto;target;yes;yes;he;ofendido;;VHfin;VLadj;;haber;ofender;;;"Lamento profundamente si en algo os he ofendido .
Bien sabe Dios que todos mis consejos han tenido como único objetivo";have caused;I deeply regret , Madam , if I have caused you such offence though God knows all my advice has only ever been
16567;pretérito perfecto compuesto;target;yes;yes;he;estado;;VHfin;VEadj;;haber;estar;;;Sí , pero he estado conduciendo más tiempo .;'ve been;Yes , but I 've been driving for longer .
16568;presente;target;yes;yes;tenemos;;;VLfin;;;tener;;;;Funcionará , Ya los tenemos ,;'ve got;We 've got them .
16569;presente;target;yes;yes;resulta;;;VLfin;;;resultar;;;;Y debido a la crisis me resulta difícil encontrar un nuevo trabajo .;'s been;And because of the crisis it 's been hard to find a new job .
16570;pretérito perfecto compuesto;target;yes;yes;ha;sido;;VHfin;VSadj;;haber;ser;;;No tienes idea de lo bueno que ha sido para nosotras .;'s been;You have no idea how good he 's been to us .
16571;pretérito perfecto compuesto;target;yes;yes;han;dejado;;VHfin;VLadj;;haber;dejar;;;Los británicos han dejado de cometer errores ,;have stopped;The British have stopped making mistakes .
16572;pretérito perfecto compuesto;target;yes;yes;Han;debido;;VHfin;VMadj;;haber;deber;;;Han debido descubrir nuestro periscopio ,;'ve spotted;They must 've spotted our periscope .
16573;pretérito perfecto compuesto;target;yes;yes;ha;oído;;VHfin;VLadj;;haber;oír;;;Su Majestad ha oído un rumor ...;has heard;- His Majesty has heard a rumour
16574;pretérito perfecto compuesto;target;yes;yes;he;estado;;VHfin;VEadj;;haber;estar;;;Os he estado esperando .;have been;I have been waiting .
16575;pretérito perfecto compuesto;target;yes;yes;he;probado;;VHfin;VLadj;;haber;probar;;;Jamás los he probado ,;'ve had;I 've never had one .
16576;pretérito perfecto compuesto;target;yes;yes;he;empezado;;VHfin;VLadj;;haber;empezar;;;- Ya he empezado ,;'ve started;- I 've already started .
16577;pretérito indefinido;target;yes;yes;fue;;;VSfin;;;ser;;;;No fue fácil para mí tampoco .;hasn been;It hasn 't been easy for me either .
16578;pretérito indefinido;target;yes;yes;Llevas;;;VLfin;;;llevar;;;;Llevas mirando esto una hora .;'ve been;You 've been looking at this for an hour .
16579;presente;target;yes;yes;Llevan;;;VLfin;;;llevar;;;;Llevan juntos dos años .;'ve been;They 've been together for two years .
16581;infinitivo compuesto;target;yes;yes;haber;puesto;;VHinf;VLadj;;haber;poner;;;Ella podría haber puesto también su número .;have dropped;She could have dropped in her number as well .
16582;pretérito perfecto compuesto;target;yes;yes;habéis;encerrado;;VHfin;VLadj;;haber;encerrar;;;Decidnos con qué autoridad nos habéis encerrado aquí .;have kept;I would know on what authority you have kept us locked up here .
16583;pretérito perfecto compuesto;target;yes;yes;Has;puesto;;VHfin;VLadj;;haber;poner;;;Has puesto a mamá muy enferma .;'ve made;You 've made Mama very sick .
16584;pretérito imperfecto;target;yes;yes;sabias;;;NC;;;sabio;;;;¿ Cuanto tiempo hace que lo sabias ?;have known;How long have you known about her ?
16585;pretérito perfecto compuesto;target;yes;yes;He;traído;;VHfin;VLadj;;haber;traer;;;- He traído montones de libros ,;'ve brought;- I 've brought plenty of books .
16586;pretérito perfecto compuesto;target;yes;yes;Hemos;superado;;VHfin;VLadj;;haber;superar;;;Hemos superado el presupuesto de producción .;have spent;We have spent all the money in the budget .
16587;pretérito indefinido;target;yes;yes;ordenó;;;VLfin;;;ordenar;;;;Cuando lleguemos a Vigo , me voy , El capitán ordenó mi desembarco ,;'s ordered;The captain 's ordered me ashore .
16588;infinitivo compuesto;target;yes;yes;habernos;enviado;;VCLIinf;VLadj;;haber;enviar;;;Podrían habernos enviado unas señoritas ,;have sent;They could have sent us some senoritas .
16589;infinitivo compuesto;target;yes;yes;haberse;detenido;;VCLIinf;VLadj;;haberse;detener;;;No estés tan seguro , Podrían haberse detenido y estar esperando para darnos una sorpresa al salir a la superficie , No son tontos ,;have stopped;He could have stopped and be waiting to surprise us when we surface .
16590;pretérito perfecto compuesto;target;yes;yes;ha;decidido;;VHfin;VLadj;;haber;decidir;;;En Maaskantje una persona ha decidido no pagar por nada .;has decided;In Maaskantje a person has decided to stop paying for anything .
