id;tense;source/target;is correct target?;is correct translation?;w1;w2;w3;w4;pos1;pos2;pos3;pos4;lemma1;lemma2;lemma3;lemma4;comments;full fragment;source words;source fragment
13043;vtt;target;yes;yes;hebben;gemaakt;;;verbprespl;verbpapa;;;hebben;maken;;;;We hebben een fout gemaakt .;haben gemacht;- Wir haben einen Fehler gemacht !
13044;vtt;target;yes;yes;heeft;geërfd;;;verbpressg;verbpapa;;;hebben;erven;;;;Uwe Majesteit moet weten dat u een rijk in verval heeft geërfd .;habt geerbt;Ihr habt einen außerordentlich machtlosen und verkommenen Staat geerbt , Majestät .
13045;vtt;target;yes;yes;heb;gezien;;;verbpressg;verbpapa;;;hebben;zien;;;;Ik heb al jaren geen sneeuw meer gezien .;habe gesehen;Schnee habe ich ewig nicht gesehen .
13046;ott;target;yes;yes;wist;;;;verbpressg;;;;wissen;;;;;Al sinds ' t radiobericht doorkwam , wist ie hoe gevaarlijk ' t was .;hat erkannt;Schon als der Funkspruch kam , hat er das Risiko erkannt .
13047;vtt;target;yes;yes;heeft;gebaard;;;verbpressg;verbpapa;;;hebben;baren|gebaren;;;;De maan heeft u gebaard .;geboren hat;Es war der Mond , der dich geboren hat .
13048;vtt;target;yes;yes;beledigd;heb;;;verbpapa;verbpressg;;;beledigen;hebben;;;;Het spijt mij heel erg als ik u beledigd heb , Mevrouw .;beleidigt habe;Ich bedauere zutiefst , Madam , wenn ich Euch so beleidigt habe .
13049;vvt;target;yes;yes;hadden;gestuurd;;;verbpastpl;verbpapa;;;hebben;sturen;;;;Wie weet wat voor idioot ze hadden gestuurd .;geschickt hätten;Wer weiß , was die für einen Idioten geschickt hätten .
13050;ott;target;yes;yes;is;gewond;;;verbpressg;adj;;;zijn;gewond;;;;Hij is gewond .;ist verwundet;Er ist verwundet .
13051;vtt;target;yes;yes;hersteld;ben;;;verbpapa;verbpressg;;;herstellen;zijn;;;;Je mag terug naar Hatfield maar je hebt huisarrest tot ik hersteld ben .;geheilt bin;Du darfst zurück in dein Haus nach Hatfield , doch stehst du dort unter Arrest , bis ich wieder geheilt bin .
13052;ovt;target;yes;yes;stierf;;;;verbpastsg;;;;sterven;;;;;Zeg hem hoe laat z ' n vader stierf .;gestorben ist;Sag ihm zu welcher Uhrzeit sein Vater gestorben ist .
13053;other;target;yes;yes;zou;luisteren;;;verbpastsg;verbinf;;;zullen;luisteren;;;;Je zou naar me luisteren .;hast versprochen;Du hast versprochen , auf mich zu hören !
13055;ott;target;yes;yes;leeft;;;;verbpressg;;;;leven;;;;;Tussen de wortels leeft een reuzenpad die de groei van de boom verhindert .;hat niedergelassen;Eine monströse Kröte hat sich in seinen Wurzeln niedergelassen und läßt den Baum nicht mehr gedeihen .
13056;ott;target;yes;yes;is;;;;verbpressg;;;;zijn;;;;;De deur is op slot .;ist verschlossen;Die Tür ist verschlossen .
13057;vtt;target;yes;yes;is;gebroken;;;verbpressg;verbpapa;;;zijn;breken;;;;Zijn nek is al gebroken .;ist gebrochen;Das Rückgrat ist gebrochen .
13058;vtt;target;yes;yes;is;neergeslagen;;;verbpressg;verbpapa;;;zijn;neerslaan;;;;Die is neergeslagen , dankzij Zijne Excellentie .;ist erledigt;Madam , die Sache ist erledigt , Gott sei Dank .
13060;vtt;target;yes;yes;heb;gekregen;;;verbpressg;verbpapa;;;hebben;krijgen;;;;Het is een magische wortel die ik van de faun heb gekregen .;gegebn hat;Es ist eine Zauberwurzel , die der Faun mir gegebn hat .
13061;vtt;target;yes;yes;Heb;gekeken;;;verbpressg;verbpapa;;;hebben;kijken;;;;Heb je in haar kamer gekeken ?;Hast nachgesehen;Hast Du in ihrem Zimmer nachgesehen ?
13062;vtt;target;yes;yes;is;aangebrand;;;verbpressg;verbpapa;;;zijn;aanbranden;;;;De koffie is aangebrand , proef maar .;ist verbrannt;Dieser Kaffee ist verbrannt .
13064;vtt;target;yes;yes;Zijn;belazerd;;;verbprespl;verbpapa;;;zijn;belazeren;;;;Zijn ze nou helemaal belazerd .;ist verrückt;Der ist verrückt .
13065;ovt;target;yes;yes;merkten;;;;verbpastpl;;;;merken;;;;;Rond acht uur merkten we beweging op in het noordwesten .;haben bemerkt;Um 8 Uhr haben wir Bewegungen im nord-westlichen Sektor bemerkt .
13068;other;target;yes;yes;is;gaan;jagen;;verbpressg;verbinf;verbinf;;zijn;gaan;jagen;;;- Lord Robert is gaan jagen .;ist gegangen;- Er ist zur Jagd gegangen , Madam .
13069;other;target;yes;yes;maakten;open;;;verbpastpl;verbpressg;;;maken;openen;;;;Een hele ravage en ze maakten niet een wagon open .;haben geöffnet;Sie haben keinen der Wagen geöffnet .
13072;ott;target;yes;yes;is;;;;verbpressg;;;;zijn;;;;;Het is me een grote eer .;bin beglückt;Ich bin über diese Ehre beglückt .
13073;vtt;target;yes;yes;hebben;meegenomen;;;verbprespl;verbpapa;;;hebben;meenemen;;;;Ze hebben niks meegenomen .;haben mitgenommen;- Sie haben nichts mitgenommen .
13075;ott;target;yes;yes;verbaast;;;;verbpressg;;;;verbazen;;;;;Lord Robert , het verbaast ons u hier te zien .;sind erstaunt;- wir sind erstaunt , Euch hier zu sehen .
13076;ott;target;yes;yes;is;;;;verbpressg;;;;zijn;;;;;Wat is er ?;ist passiert;- Was ist passiert ?
13077;vtt;target;yes;yes;heb;gewacht;;;verbpressg;verbpapa;;;hebben;wachten;;;;Ik heb gewacht .;habe gewartet;Ich habe auf Euch gewartet .
13078;vtt;target;yes;yes;gered;heeft;;;verbpapa;verbpressg;;;redden;hebben;;;;Toch weet ik zeker dat dit uw bastaardkoningin niet gered heeft .;hat gerettet;- Ich bin sicher , diese Tat der Hölle hat Eure Bastard-Königin nicht gerettet .
13079;vtt;target;yes;yes;is;gestorven;;;verbpressg;verbpapa;;;zijn;sterven;;;;"Mijn vader was een kleermaker .
Hij is in de oorlog gestorven .";ist gefallen;Mein Vater war ein Schneider , er ist im Krieg gefallen .
13080;vtt;target;yes;yes;hebben;laten;dromen;;verbprespl;verbinf;verbinf;;hebben;laten;dromen;;;Ze hebben ons van deze dag laten dromen .;haben vorgemacht;Die haben uns was vorgemacht .
13081;vtt;target;yes;yes;is;gearresteerd;;;verbpressg;verbpapa;;;zijn;arresteren;;;;Uwe Excellentie is gearresteerd .;ist verhaftet;Euer Gnaden ist verhaftet .
13082;vtt;target;yes;yes;gescheiden;bent;;;verbpapa;verbpressg;;;scheiden;zijn;;;;Het is niet aan u om mij de les te lezen aangezien u zelf al twee keer gescheiden bent .;seid geschieden;Denn zweimal seid lhr schon geschieden , und nun zum dritten Mal verheiratet !
13083;ott;target;yes;yes;is;;;;verbpressg;;;;zijn;;;;;De burgeroorlog is voorbij .;ist beendet;Der Bürgerkrieg ist beendet .
13085;ott;target;yes;yes;houden;;;;verbprespl;;;;houden;;;;;De goden houden ons met ' n schep zand tegen .;hat geschickt;Gott hat uns eine Schaufel Sand geschickt .
13086;ott;target;yes;yes;is;;;;verbpressg;;;;zijn;;;;;Het doet me deugd dat Uwe Majesteit ongedeerd is .;verletzt ist;Ich bin erfreut , daß Eure Majestät nicht verletzt ist .
13087;vtt;target;yes;yes;heeft;gesproken;;;verbpressg;verbpapa;;;hebben;spreken;;;;Dat u met Maria van Schotland heeft gesproken .;aufgenommen habt;... daß lhr Kontakt nach Schottland zu Maria aufgenommen habt , um Euer Anliegen voranzutreiben .
13089;vtt;target;yes;yes;Heb;nagedacht;;;verbpressg;verbpapa;;;hebben;nadenken;;;;Heb je daar al over nagedacht ?;Hast nachgedacht;- Hast du darüber nachgedacht ?
13091;vtt;target;yes;yes;hebt;vermoord;;;verbpressg;verbpressg;;;hebben;vermoorden;;;;Je hebt hem vermoord .;haben getötet;Sie haben ihn getötet , Sie haben ihn getötet !
13093;vtt;target;yes;yes;Heb;gezien;;;verbpressg;verbpapa;;;hebben;zien;;;;Heb je dat gezien ?;Hast bemerkt;Hast Du das bemerkt ?
13094;vtt;target;yes;yes;heeft;gekozen;;;verbpressg;verbpapa;;;hebben;kiezen;;;;En u heeft goed gekozen , Majesteit .;hast gewählt;Und du hast gut gewählt , Eure Hoheit .
13095;ovt;target;yes;yes;ontmoetten;;;;verbpastpl;;;;ontmoeten;;;;;Wel toevallig , dat jullie elkaar na zo ' n lange tijd weer ontmoetten .;wiedergefunden haben;Ich meine , daß sie sich wiedergefunden haben .
13096;ott;target;yes;yes;zien;;;;verbprespl;;;;zien;;;;;Ze zien ons niet .;haben entdeckt;Die haben uns nicht entdeckt .
13097;ott;target;yes;yes;gebruik;;;;nounsg;;;;gebruik;;;;;Eerst kan ik je nog niet vertrouwen , maar zodra ik dit gebruik , zal je beginnen praten .;verwendet habe;Zuerst , werde ich dir nicht trauen können , aber nachdem ich das verwendet habe , wirst du einige Dinge eingestehen .
13098;vtt;target;yes;yes;zijn;losgeraakt;;;verbprespl;verbpapa;;;zijn;losraken;;;;De compressoren zijn losgeraakt en de geleidebussen lekken .;haben losgerissen;Die Kompressoren haben sich losgerissen .
13099;ott;target;yes;yes;is;;;;verbpressg;;;;zijn;;;;;Ik weet niet hoe , maar het is zo .;ist passiert;Ich weiß nicht wie , aber es ist passiert .
13100;vtt;target;yes;yes;heeft;gedaan;;;verbpressg;verbpapa;;;hebben;doen;;;;Wat heeft u met ' m gedaan ?;haben angetan;Mein Gott , was haben sie ihm angetan ?
13102;ovt;target;yes;yes;vonden;;;;verbpastpl;;;;vinden;;;;;Ze vonden niets dat Haar kon vervangen .;haben gefunden;Sie haben nichts gefunden , das sie ersetzen könnte .
13103;vtt;target;yes;yes;heb;gedaan;;;verbpressg;verbpapa;;;hebben;doen;;;;Waarom heb je het gedaan ?;haben getan;Warum haben sie das getan ?
13104;ott;target;yes;yes;hoor;;;;verbpressg;;;;horen;;;;;Ik hoor dat u een wijs man bent en iemand van de wereld , net als ik .;habe gehört;Ich habe gehört , lhr seid ein kluger Mann , Sir Francis , und eine Person von Welt .
13105;vvt;target;yes;yes;was;gestorven;;;verbpastsg;verbpapa;;;wezen|zijn;sterven;;;;Zijn manschappen zeiden dat toen hij op het slagveld stierf hij zijn horloge op een steen kapotsloeg zodat zijn zoon zou weten hoe laat en hoe dapper hij was gestorven .;gestorben war;Die Männer in seinem Batallion sagten , daß , als General Vidal auf dem Schlachtfeld starb , er seine Uhr an einem Stein zerschmetterte damit sein Sohn wissen würde , in exakt welcher Minute er gestorben war .
13109;ott;target;yes;yes;bent;;;;verbpressg;;;;zijn;;;;;U bent meer dan ooit afhankelijk van hun goede wil .;wart angewiesen;Noch nie wart ihr so sehr auf ihren guten Willen angewiesen .
13110;ovt;target;yes;yes;verborg;;;;verbpastsg;;;;verbergen;;;;;Kijk wat ze onder je bed verborg .;versteckt hat;Schau dir an , was sie unter deinem Bett versteckt hat !
13111;ott;target;yes;yes;zijn;;;;verbprespl;;;;zijn;;;;;We zijn ze nog niet kwijt .;ist abgeschüttelt;Noch ist der nicht abgeschüttelt .
13113;ovt;target;yes;yes;zeiden;;;;verbpastpl;;;;zeggen;;;;;"Ze zeiden dat het ' t bewijs van onze mannelijkheid was .
Niemand nodig hebben en alles opofferen voor ' t vaderland .";haben erzählt;Die haben uns erzählt , es wäre der Beweis für unsere Männlichkeit , niemanden zu brauchen und für das Vaterland zu sterben .
13114;ott;target;yes;yes;doet;;;;verbpressg;;;;doen;;;;;Het doet me deugd dat Uwe Majesteit ongedeerd is .;bin erfreut;Ich bin erfreut , daß Eure Majestät nicht verletzt ist .
13116;ott;target;yes;yes;wacht;;;;verbpressg;;;;wachten;;;;;Hij wacht al zo lang .;hat gewartet;Er hat so lange auf dich gewartet .
13118;vtt;target;yes;yes;heeft;omsloten;;;verbpressg;verbpapa;;;hebben;omsluiten;;;;Een golf des doods heeft mij omsloten .;bin umfangen;Vom Tod bin ich umfangen .
13119;vvt;target;yes;yes;hadden;verwacht;;;verbpastpl;verbpressg;;;hebben;verwachten;;;;Seewald , we hadden je al verwacht .;haben erwartet;Seewald , wir haben Sie erwartet .
13120;vtt;target;yes;yes;hebben;laten;liggen;;verbprespl;verbinf;verbinf;;hebben;laten;liggen;;;- Ze hebben dit lot laten liggen .;haben vergessen;Verdammt , sie haben dieses Lotterielos vergessen .
13121;ott;target;yes;yes;zijn;;;;verbprespl;;;;zijn;;;;;"Jullie zijn kansloos .
Geen wapens , geen schuilplaats ...";seid aufgeschmissen;Ihr seid aufgeschmissen , keine Waffen , kein sicheres Obdach ...
13122;vtt;target;yes;yes;hebt;gemaakt;;;verbpressg;verbpapa;;;hebben;maken;;;;Je hebt mama erg ziek gemaakt .;hast gemacht;Du hast Mama sehr krank gemacht .
13123;vtt;target;yes;yes;gegeten;;;;verbpapa;;;;eten;;;;;Nooit gegeten .;Habe gegessen;Habe ich noch nie gegessen .
13124;vtt;target;yes;yes;hebt;gedaan;;;verbpressg;verbpapa;;;hebben;doen;;;;Je hebt me pijn gedaan .;getan hast;Was du getan hast , hat mich verletzt .
13125;vtt;target;yes;yes;Heb;gezien;;;verbpressg;verbpapa;;;hebben;zien;;;;- Heb je m ' n moeder gezien ?;Hast gesehen;Hast Du meine Mutter gesehen ?
13126;ott;target;yes;yes;zijn;;;;verbprespl;;;;zijn;;;;;Na zes uur sluipvaart onder water lijkt het zeker dat de jagers ons kwijt zijn .;verloren haben;Sind sicher , daß Zerstörer uns verloren haben .
13127;ott;target;yes;yes;zijn;;;;verbprespl;;;;zijn;;;;;- Dan zijn we ze kwijt .;haben abgeschüttelt;- Wir haben ihn wohl abgeschüttelt .
13128;ovt;target;yes;yes;maakte;;;;verbpastsg;;;;maken;;;;;Ofelia ' s vader maakte uniformen voor de kapitein .;hat geschneidert;Ofelias Vater hat früher die Uniformen für den Capitán geschneidert .
13130;vtt;target;yes;yes;gescheurd;zijn;;;verbpapa;verbprespl;;;scheuren;zijn;;;;Er moeten veel batterijcellen gescheurd zijn .;sind gerissen;Batteriezellen sind gerissen .
13131;ott;target;yes;yes;is;;;;verbpressg;;;;zijn;;;;;Ik ben voor , Excellentie als de troon in gevaar is .;gefährdet ist;Wenn lhrer Majestät Thron gefährdet ist .
13133;ott;target;yes;yes;is;;;;verbpressg;;;;zijn;;;;;- Die is raak .;ist getroffen;- Der erste ist getroffen .
13134;vtt;target;yes;yes;is;gebroken;;;verbpressg;verbpapa;;;zijn;breken;;;;- Drijfriem bakboord is gebroken .;ist gerissen;- Fundament ist gerissen .
13137;vtt;target;yes;yes;heb;gepraat;;;verbpressg;verbpapa;;;hebben;praten;;;;Niet veel , maar ik heb gepraat .;habe geredet;- A-b-ber ich habe geredet .
13138;vvt;target;yes;yes;was;gepland;;;verbpastsg;verbpapa;;;wezen|zijn;plannen;;;;Dit was gepland .;war ausgeheckt;Doch dies war ausgeheckt .
13140;vtt;target;yes;yes;hebben;gedaan;;;verbprespl;verbpapa;;;hebben;doen;;;;Zoals u ziet , hebben we ons best gedaan .;haben getan;Wir haben unser Möglichstes getan .
13141;ovt;target;yes;yes;zei;;;;verbpastsg;;;;zeggen;;;;;- lk zei toch ...;habe gesagt;- habe ich das nicht gesagt ?
13142;vtt;target;yes;yes;heb;gegeven;;;verbpressg;verbpapa;;;hebben;geven;;;;Ik heb het bevel niet gegeven .;habe befohlen;- Ich habe sie nicht befohlen .
13143;ott;target;yes;yes;ben;;;;verbpressg;;;;zijn;;;;;Ik ben uw vorstin ...;hat eingesetzt;Man hat mich eingesetzt ...
13144;vtt;target;yes;yes;zijn;verloofd;;;verbprespl;verbpapa;;;zijn;verloven;;;;Niemand weet ' t , maar we zijn verloofd .;sind verlobt;aber wir sind verlobt .
13145;vtt;target;yes;yes;is;getrouwd;;;verbpressg;verbpapa;;;zijn;trouwen;;;;Hij is al getrouwd .;ist verheiratet;Er ist schon verheiratet .
13146;ott;target;yes;yes;is;gewond;;;verbpressg;adj;;;zijn;gewond;;;;Ze verliezen terrein , en één van hen is gewond .;ist verwundet;Sie verlieren an Boden , und einer von ihnen ist verwundet .
13148;ott;target;yes;yes;hebben;;;;verbprespl;;;;hebben;;;;;We hebben ' m .;ist getroffen;Er ist getroffen !
